Ch_1,Ch_2,Ch_3,Ch_4,Sample
10.735,16.634,-5.327,-4.5822,254
3.0116,14.283,-14.838,-19.12,255
-0.54392,15.792,-20.663,-30.658,256
-3.0959,16.248,-20.991,-31.502,257
-7.269,10.426,-14.174,-15.591,258
-7.8908,4.5882,-7.8306,-3.2276,259
-4.1166,-3.1134,-1.0636,4.8276,260
-5.1483,2.2632,-0.43292,4.6902,261
-1.3918,-7.0312,-7.5623,-8.4559,262
17.277,16.155,4.5239,1.8921,263
15.531,12.628,2.3065,6.296,264
28.582,21.765,19.445,25.477,265
22.855,10.461,19.203,26.944,266
18.941,13.901,24.144,34.276,267
14.196,0.7183,28.238,34.838,268
24.204,8.0154,50.849,54.78,269
17.774,-3.1173,50.263,55.758,270
23.55,1.4802,55.892,56.73,271
21.579,2.4973,54.138,51.749,272
26.731,12.724,52.99,47.711,273
26.522,15.048,47.307,42.068,274
20.122,0.2338,44.658,38.178,275
20.526,3.2218,41.245,34.683,276
10.672,-3.3868,23.866,22.627,277
3.9521,1.8285,16.603,18.12,278
3.4085,-1.4071,11.078,12.273,279
19.943,17.235,29.464,27.633,280
13.964,2.6622,23.28,21.972,281
20.407,13.442,30.4,25.722,282
16.68,5.718,23.975,16.992,283
13.095,9.8322,15.043,4.1712,284
3.8904,2.5504,-0.13005,-7.499,285
19.571,18.719,17.035,12.909,286
15.416,16.152,9.7902,6.8855,287
17.614,19.906,2.7171,1.2366,288
15.599,16.959,-1.9492,-5.4425,289
9.0494,13.608,-9.4971,-15.156,290
7.69,14.97,-1.885,-7.8422,291
1.7318,10.116,-4.1328,-10.446,292
3.0474,19.26,-3.4509,-12.456,293
1.2118,2.1607,-6.4844,-11.303,294
13.039,23.823,-1.5437,-3.762,295
3.1916,9.624,-9.6482,-11.48,296
6.7404,9.9498,0.12399,-0.46313,297
4.4228,13.61,-4.6447,-3.444,298
4.6623,24.637,-0.47004,0.51938,299
-1.6103,6.3502,-6.982,-6.2219,300
9.8727,15.145,5.2795,3.0456,301
5.0756,11.861,6.0709,1.636,302
5.8573,11.009,3.0386,0.42416,303
14.986,13.924,5.6249,7.0628,304
25.081,26.833,18.856,20.119,305
26.312,31.775,24.33,23.502,306
21.962,21.686,17.008,12.088,307
25.993,28.783,21.298,13.242,308
22.854,25.733,18.733,13.446,309
25.625,44.987,15.068,9.5197,310
23.344,38.246,13.829,-0.1588,311
